"Date","hour","Weekday","Peakhour","TemperatureF","Humidity","predicted.kwh"
"10/05/2016","10",1,1,59,69,287.779459393835
"10/05/2016","11",1,1,59,69,287.779459393835
"10/05/2016","12",1,1,60.1,67,290.592453977102
"10/05/2016","13",1,1,59,69,287.779459393835
"10/05/2016","14",1,1,59,67,288.819095668505
"10/05/2016","15",1,1,57.9,72,284.457891059492
"10/05/2016","16",1,1,57,72,282.980685666249
"10/05/2016","17",1,1,55.9,75,279.659272523782
"10/05/2016","18",1,1,55,77,277.172269789804
"10/05/2016","19",1,1,55,77,277.172269789804
"10/05/2016","20",1,0,55,80,150.626525063549
"10/05/2016","21",1,0,55,80,150.626525063549
"10/05/2016","22",1,0,54,83,147.516869236664
"10/05/2016","23",1,0,52,89,141.325313716083
"10/06/2016","0",1,0,52,86,142.700075109198
"10/06/2016","1",1,0,51.1,89,139.765860420977
"10/06/2016","2",1,0,50,93,136.043629734422
"10/06/2016","3",1,0,51.1,89,139.765860420977
"10/06/2016","4",1,0,50,89,137.841091520733
"10/06/2016","5",1,0,48.9,93,134.097569340605
"10/06/2016","6",1,0,48.9,90,135.441941290281
"10/06/2016","7",1,0,52,86,142.700075109198
"10/06/2016","8",1,1,55,77,277.172269789804
"10/06/2016","9",1,1,57.9,67,287.029127552397
"10/06/2016","10",1,1,59,69,287.779459393835
"10/06/2016","11",1,1,62.1,60,297.542436015292
"10/06/2016","12",1,1,63,58,300.074264914926
"10/06/2016","13",1,1,64,52,305.104629099421
"10/06/2016","14",1,1,66,33,320.763239657691
"10/06/2016","15",1,1,64,52,305.104629099421
"10/06/2016","16",1,1,64,54,303.927008121932
"10/06/2016","17",1,1,63,60,298.958137615826
"10/06/2016","18",1,1,61,75,287.960099817854
"10/06/2016","19",1,1,61,83,284.100787782196
"10/06/2016","20",1,0,60.1,80,158.99206994501
"10/06/2016","21",1,0,59,81,156.740964274008
"10/06/2016","22",1,0,57,87,150.667226263393
"10/06/2016","23",1,0,55.9,90,147.478852585984
"10/07/2016","0",1,0,54,97,141.186484960044
"10/07/2016","1",1,0,55.9,84,150.236573717961
"10/07/2016","2",1,0,54,90,144.290061692964
"10/07/2016","3",1,0,57,77,155.402982494875
"10/07/2016","4",1,0,54,86,146.117912922714
"10/07/2016","5",1,0,54,80,148.941344742026
"10/07/2016","6",1,0,54,80,148.941344742026
"10/07/2016","7",1,0,57,74,156.882988079016
"10/07/2016","8",1,1,60.1,69,289.552817702432
"10/07/2016","9",1,1,64,65,297.807821501415
"10/07/2016","10",1,1,64.9,65,299.202498877493
"10/07/2016","11",1,1,66,63,301.965673138706
"10/07/2016","13",1,1,66.9,63,303.339201297316
"10/07/2016","14",1,1,66,68,299.317035014061
"10/07/2016","15",1,1,64.9,75,294.07597919857
"10/07/2016","16",1,1,64.9,78,292.605680558493
"10/07/2016","17",1,1,63,84,286.791710487541
"10/07/2016","18",1,1,63,81,288.207525042222
"10/07/2016","19",1,1,63,78,289.649810294844
"10/07/2016","20",1,0,62.1,78,163.139808335869
"10/07/2016","21",1,0,60.1,86,156.168638125698
"10/07/2016","22",1,0,59,87,153.934399772744
"10/07/2016","23",1,0,59,81,156.740964274008
"10/08/2016","0",0,0,57.9,84,81.5625911228348
"10/08/2016","1",0,0,55.9,90,75.5062621055987
"10/08/2016","2",0,0,54,93,70.9730992629026
"10/08/2016","3",0,0,54,93,70.9730992629026
"10/08/2016","4",0,0,54,90,72.3174712125787
"10/08/2016","5",0,0,52,97,65.7960566661432
"10/08/2016","6",0,0,53.1,96,68.1201877545824
"10/08/2016","7",0,0,53.1,100,66.3881246489323
"10/08/2016","8",0,1,55.9,93,199.256190514364
"10/08/2016","9",0,1,57.9,93,202.554798399623
"10/08/2016","10",0,1,59,93,204.344766515731
"10/08/2016","11",0,1,63,81,216.234934561836
"10/08/2016","12",0,1,64,78,219.23841270203
"10/08/2016","13",0,1,64,80,218.273874811811
"10/08/2016","14",0,1,64,87,214.989562948143
